 จำนวนรถที่จดทะเบียนสะสม  ณ  วันที่  31 มกราคม 2560 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Number of Vehicle Registered in Thailand as of 31 January 2017 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 (คัน : Unit) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ประเภทรถ , ทั่วประเทศ , กรุงเทพฯ , ส่วนภูมิภาค ,รวมภาคกลาง,ชัยนาท,สิงห์บุรี,ลพบุรี,อ่างทอง,สระบุรี, พระนครศรีอยุธยา,ปทุมธานี,นนทบุรี,สมุทรปราการ,รวมภาคตะวันออก,นครนายก,ปราจีนบุรี,ฉะเชิงเทรา,ชลบุรี,ระยอง,จันทบุรี,ตราด,สระแก้ว,รวมภาคตะวันออกเฉียงเหนือ,,ชัยภูมิ,ยโสธร,อุบลราชธานี,ศรีสะเกษ,บุรีรัมย์,นครราชสีมา,สุรินทร์,อำนาจเจริญ,หนองบัวลำภู,บึงกาฬ,หนองคาย,เลย,อุดรธานี,นครพนม,สกลนคร,ขอนแก่น,กาฬสินธุ์,มหาสารคาม,ร้อยเอ็ด,มุกดาหาร,รวมภาคเหนือ,เชียงราย,แม่ฮองสอน,เชียงใหม่,พะเยา,น่าน,ลำพูน,ลำปาง,แพร่,อุตรดิตถ์,สุโขทัย,ตาก,พิษณุโลก,กำแพงเพชร,พิจิตร,เพชรบูรณ์,นครสวรรค์,อุทัยธานี,รวมภาคตะวันตก,สุพรรณบุรี,กาญจนบุรี,นครปฐม,ราชบุรี,สมุทรสาคร,สมุทรสงคราม,เพชรบุรี,ประจวบคีรีขันธ์,รวมภาคใต้,ชุมพร,ระนอง,สุราษฎร์ธานี,พังงา,นครศรีธรรมราช,กระบี่,ภูเก็ต,พัทลุง,ตรัง,สงขลา,สตูล,ปัตตานี,ยะลา,นราธิวาส
     รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน Urban Taxi ," 94,653 "," 90,708 "," 3,945 ", 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   ," 1,898 ", -   , -   , -   , 592 , 22 , 5 , -   , -   ," 1,279 ",, -   , -   , 495 , 60 , 25 , 122 , 14 , -   , -   , -   , 14 , 24 , 58 , 11 , 16 , 362 , 6 , 46 , 13 , 13 , 918 , 240 , -   , 403 , -   , 10 , -   , 10 , 1 , 9 , 1 , 50 , 191 , -   , 3 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,128 ", -   , -   , 595 , -   , 62 , 17 , 355 , -   , 2 , 93 , -   , -   , 4 , -   
     รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง Fixed Route Taxi ," 2,922 "," 2,403 ", 519 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 518 , -   , -   , -   , -   , -   , -   , 518 , -   , -   , -   , -   , -   , -   , -   
     รย. 8 รถยนต์รับจ้างสามล้อ Motortricycle Taxi (Tuk Tuk) ," 20,404 "," 9,357 "," 11,047 "," 3,894 ", 14 , 1 , 1 , 39 , 13 ," 1,326 ", -   ," 1,723 ", 777 ," 4,455 ", 1 , 530 ," 1,016 ", 876 , 1 , 57 , 25 , 122 ," 1,827 ",, 56 , -   , 402 , -   , 43 , 761 , 15 , 1 , -   , -   , 3 , 2 , 1 , 32 , -   , 505 , 1 , -   , 5 , -   ," 1,674 ", 190 , 14 ," 1,142 ", 4 , -   , 1 , -   , -   , 5 , 4 , 51 , 126 , -   , 29 , 67 , 41 , -   , 818 , 103 , 13 , 88 , 102 , 230 , 186 , 19 , 77 , 206 , -   , -   , -   , -   , -   , -   , -   , -   , 203 , -   , -   , -   , 3 , -   
     รย. 9 รถยนต์บริการธุรกิจ Hotel Taxi ," 4,191 ", 685 ," 3,506 ", 44 , -   , -   , -   , -   , -   , -   , -   , 42 , 2 , 72 , -   , -   , -   , 6 , 3 , -   , -   , -   , 63 ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 , 1 , 42 , 2 , -   , 8 , -   , -   , -   , -   , 259 , 59 , -   , 200 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 193 , -   , -   , -   , -   , -   , -   , -   , 193 ," 2,938 ", -   , -   , 87 , 327 , 27 , 109 ," 2,366 ", -   , -   , 21 , -   , 1 , -   , -   
     รย.10 รถยนต์บริการทัศนาจร Tour Taxi ," 4,654 "," 1,480 "," 3,174 ", 10 , -   , -   , -   , -   , -   , -   , -   , 2 , 8 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,164 ", -   , -   , 9 , 40 , -   , 453 ," 2,656 ", -   , 6 , -   , -   , -   , -   , -   
     รย.11 รถยนต์บริการให้เช่า Car For Hire , 58 , 50 , 8 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 8 , -   , -   , 3 , 1 , -   , -   , -   , -   , 4 , -   , -   , -   , -   , -   
     รย.12 รถจักรยานยนต์ส่วนบุคคล Motorcycle ," 20,291,305 "," 3,393,056 "," 16,898,249 "," 1,140,870 "," 103,585 "," 85,584 "," 233,196 "," 87,647 "," 238,656 "," 240,723 "," 56,151 "," 45,278 "," 50,050 "," 7,031,722 "," 72,715 "," 149,125 "," 226,295 "," 927,871 "," 401,533 "," 206,476 "," 88,878 "," 130,819 "," 4,828,010 ",," 208,463 "," 125,656 "," 426,009 "," 242,578 "," 324,968 "," 710,710 "," 295,744 "," 77,135 "," 88,653 "," 68,331 "," 141,351 "," 145,276 "," 393,311 "," 151,762 "," 307,289 "," 433,121 "," 157,682 "," 200,251 "," 233,117 "," 96,603 "," 4,061,390 "," 439,703 "," 47,728 "," 792,755 "," 169,686 "," 141,702 "," 175,670 "," 272,499 "," 157,732 "," 154,731 "," 193,603 "," 144,656 "," 269,625 "," 211,190 "," 192,087 "," 268,001 "," 324,145 "," 105,877 "," 1,759,968 "," 297,404 "," 239,166 "," 252,878 "," 323,752 "," 192,453 "," 45,280 "," 200,317 "," 208,718 "," 2,904,299 "," 168,906 "," 54,306 "," 338,932 "," 85,175 "," 379,377 "," 136,333 "," 284,964 "," 161,295 "," 230,355 "," 441,030 "," 95,145 "," 155,983 "," 192,351 "," 180,147 "
     รย.13 รถแทรกเตอร์ Tractor ," 504,114 "," 91,814 "," 412,300 "," 40,497 "," 3,288 "," 1,045 "," 15,482 ", 787 ," 5,074 "," 1,870 ", 287 ," 1,108 "," 11,556 "," 218,906 ", 561 ," 2,432 "," 2,229 "," 4,618 "," 2,337 "," 2,897 ", 152 ," 7,855 "," 195,825 ",," 13,989 "," 4,158 "," 18,228 "," 11,528 "," 12,065 "," 34,630 "," 11,372 "," 3,244 "," 5,031 "," 1,829 "," 4,656 "," 7,988 "," 15,055 "," 3,888 "," 8,463 "," 11,864 "," 8,404 "," 7,655 "," 9,710 "," 2,068 "," 119,186 "," 8,471 ", 146 ," 4,436 "," 3,927 "," 2,920 ", 938 ," 1,103 "," 2,470 "," 5,653 "," 9,543 "," 3,382 "," 9,494 "," 13,794 "," 6,182 "," 20,185 "," 20,999 "," 5,543 "," 18,548 "," 6,478 "," 5,889 "," 1,411 "," 1,136 ", 186 , 89 ," 1,380 "," 1,979 "," 15,163 "," 1,326 ", 142 ," 4,022 ", 162 ," 2,935 ", 361 , 411 ," 1,390 ", 822 ," 2,520 ", 176 , 250 , 327 , 319 
     รย.14 รถบดถนน Road Roller ," 13,362 "," 3,665 "," 9,697 ", 751 , 39 , 47 , 136 , 60 , 130 , 80 , 54 , 161 , 44 ," 3,891 ", 45 , 168 , 86 , 288 , 129 , 141 , 23 , 119 ," 2,892 ",, 106 , 113 , 249 , 195 , 441 , 397 , 250 , 30 , 102 , 3 , 27 , 101 , 159 , 33 , 123 , 214 , 118 , 77 , 96 , 58 ," 2,358 ", 247 , 15 , 391 , 70 , 83 , 49 , 124 , 117 , 101 , 169 , 81 , 190 , 125 , 167 , 208 , 169 , 52 ," 1,161 ", 253 , 89 , 163 , 395 , 22 , 47 , 98 , 94 ," 1,536 ", 123 , 44 , 308 , 40 , 119 , 47 , 24 , 61 , 95 , 295 , 47 , 99 , 116 , 118 
     รย.15 รถใช้งานเกษตรกรรม Farm Vehicle ," 104,219 ", 6 ," 104,213 ", 989 , 79 , -   , 237 , -   , 132 , 533 , 7 , 1 , -   ," 73,007 ", 70 , 21 , 109 , 13 , 12 , 7 , 1 , 51 ," 72,723 ",," 18,065 ", 709 , 201 , 248 ," 1,770 "," 45,169 ", 455 , 19 , 283 , -   , 258 , 171 ," 1,356 ", 56 , 59 , 975 , 309 , 666 ," 1,947 ", 7 ," 29,746 ", 920 , 3 , 30 , 42 , 6 , 26 , 125 , 119 ," 11,986 "," 2,320 ", 18 ," 6,301 ", 778 ," 2,467 "," 2,187 "," 2,075 ", 343 , 427 , 39 , 27 , 3 , 8 , -   , 3 , 318 , 29 , 44 , 2 , 1 , 3 , 1 , 6 , 3 , -   , -   , 3 , 4 , -   , -   , 2 , 19 
     รย.16 รถพ่วง Automobile Trailer ," 4,006 "," 2,307 "," 1,699 ", 125 , 4 , -   , 10 , 6 , 37 , 24 , 35 , 3 , 6 ," 1,260 ", 3 , 2 , 6 , 348 , 25 , 10 , -   , 5 , 861 ,, 8 , -   , 28 , 6 , 8 , 686 , 11 , 1 , 4 , 2 , 10 , 6 , 48 , 1 , 3 , 28 , 4 , 4 , 3 , -   , 123 , 14 , 6 , 22 , 2 , 2 , 7 , 7 , -   , 6 , 16 , 3 , 8 , 9 , 8 , 2 , 10 , 1 , 93 , 6 , 28 , 6 , 13 , 2 , -   , 13 , 25 , 98 , 18 , 3 , 19 , 1 , 3 , 7 , 20 , 5 , 3 , 14 , 1 , 1 , -   , 3 
     รย.17 รถจักรยานยนต์สาธารณะ Public Motorcycle ," 200,020 "," 102,725 "," 97,295 "," 43,304 ", 136 , 161 ," 1,145 ", 540 ," 1,833 "," 4,108 "," 9,017 "," 8,224 "," 18,140 "," 23,381 ", 363 , 317 ," 1,946 "," 12,537 "," 1,431 ", 544 , 231 , 303 ," 5,709 ",, 74 , 170 , 239 , 342 , 683 ," 2,448 ", 994 , 82 , 22 , -   , 11 , 5 , 53 , 3 , 107 , 226 , 38 , 125 , 84 , 3 ," 5,043 ", 650 , 117 , 529 , 126 , 122 , 102 , 161 , 82 , 117 , 128 ," 1,319 ", 275 , 138 , 179 , 287 , 585 , 126 ," 14,157 ", 542 , 845 ," 4,336 "," 1,136 "," 4,758 ", 907 , 753 , 880 ," 11,410 ", 528 , 511 , 448 , 412 ," 1,478 ", 375 ," 1,907 ", 688 ," 1,130 "," 2,114 ", 325 , 597 , 48 , 849 
 ข. รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก ," 1,213,908 "," 182,094 "," 1,031,814 "," 158,585 "," 8,055 "," 5,196 "," 15,819 "," 5,749 "," 30,876 "," 22,975 "," 20,814 "," 18,114 "," 30,987 "," 430,664 "," 4,134 "," 11,111 "," 22,796 "," 51,416 "," 24,701 "," 8,354 "," 3,698 "," 10,355 "," 294,099 ", -   ," 19,749 "," 6,158 "," 19,794 "," 13,145 "," 19,382 "," 56,324 "," 17,550 "," 3,264 "," 8,222 "," 3,238 "," 5,847 "," 11,046 "," 22,769 "," 4,873 "," 9,183 "," 29,391 "," 12,956 "," 12,246 "," 14,293 "," 4,669 "," 183,227 "," 15,914 "," 1,133 "," 24,020 "," 6,973 "," 5,993 "," 4,475 "," 9,625 "," 6,144 "," 6,217 "," 10,462 "," 7,036 "," 14,045 "," 17,343 "," 9,320 "," 13,402 "," 24,649 "," 6,476 "," 139,991 "," 27,062 "," 18,330 "," 37,087 "," 17,955 "," 14,200 "," 3,369 "," 10,660 "," 11,328 "," 119,347 "," 6,926 "," 3,491 "," 18,563 "," 4,131 "," 15,251 "," 6,645 "," 11,432 "," 6,309 "," 7,216 "," 25,163 "," 2,566 "," 3,893 "," 4,496 "," 3,265 "
     Total Vehicle under Land Transport Act ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     รวมรถโดยสาร Bus : Total ," 157,071 "," 43,849 "," 113,222 "," 16,387 ", 361 , 444 ," 1,864 ", 997 ," 1,086 "," 3,251 "," 2,513 "," 2,087 "," 3,784 "," 40,293 ", 371 , 725 ," 2,332 "," 6,276 "," 2,078 "," 1,101 ", 697 , 519 ," 26,194 ", -   , 963 , 649 ," 2,060 "," 1,131 "," 1,056 "," 6,018 "," 1,343 ", 191 , 687 , 169 , 459 , 648 ," 2,495 ", 592 ," 1,269 "," 3,008 ", 795 ," 1,018 "," 1,299 ", 344 ," 18,154 "," 1,859 ", 203 ," 6,941 ", 465 , 462 , 436 ," 1,200 ", 434 , 414 , 548 , 866 , 870 , 620 , 357 , 673 ," 1,339 ", 467 ," 9,118 "," 1,770 "," 1,169 "," 1,481 ", 889 ," 1,667 ", 500 , 695 , 947 ," 29,270 ", 604 , 611 ," 3,267 "," 1,523 "," 2,832 "," 1,974 "," 7,360 "," 1,129 ", 898 ," 6,027 ", 595 , 884 ," 1,130 ", 436 
     แยกเป็น - ประจำทาง Fixed Route Bus ," 83,578 "," 23,867 "," 59,711 "," 7,015 ", 115 , 220 , 803 , 208 , 317 ," 1,012 "," 1,163 ", 908 ," 2,269 "," 24,556 ", 172 , 270 , 868 ," 3,168 "," 1,228 ", 374 , 418 , 272 ," 17,786 ",, 650 , 483 ," 1,474 ", 665 , 676 ," 3,556 ", 870 , 126 , 527 , 55 , 274 , 446 ," 1,986 ", 397 , 983 ," 2,337 ", 469 , 751 , 818 , 243 ," 10,955 "," 1,143 ", 120 ," 4,142 ", 235 , 230 , 292 , 886 , 331 , 228 , 329 , 621 , 352 , 373 , 100 , 429 , 899 , 245 ," 5,159 "," 1,126 ", 853 , 744 , 467 ," 1,048 ", 386 , 206 , 329 ," 12,026 ", 431 , 510 ," 2,072 ", 376 ," 2,209 ", 653 , 400 , 815 , 534 ," 2,513 ", 362 , 451 , 439 , 261 
